,Exp #,Batch,Mesh #,Velocity,Density,Exp Complete?
552,552,4,4,0.05,3,True
553,553,4,4,0.15,3,True
554,554,4,4,0.25,3,True
555,555,4,4,0.35,3,True
556,556,4,4,0.05,4,True
557,557,4,4,0.15,4,True
558,558,4,4,0.25,4,True
559,559,4,4,0.35,4,True
560,560,4,5,0.05,1,True
561,561,4,5,0.15,1,True
562,562,4,5,0.25,1,True
563,563,4,5,0.35,1,True
564,564,4,5,0.05,2,True
565,565,4,5,0.15,2,True
566,566,4,5,0.25,2,True
567,567,4,5,0.35,2,True
568,568,4,5,0.05,3,True
569,569,4,5,0.15,3,True
570,570,4,5,0.25,3,True
571,571,4,5,0.35,3,True
572,572,4,5,0.05,4,True
573,573,4,5,0.15,4,True
574,574,4,5,0.25,4,True
575,575,4,5,0.35,4,True
576,576,4,6,0.05,1,True
577,577,4,6,0.15,1,True
578,578,4,6,0.25,1,True
579,579,4,6,0.35,1,True
580,580,4,6,0.05,2,True
581,581,4,6,0.15,2,True
582,582,4,6,0.25,2,True
583,583,4,6,0.35,2,True
584,584,4,6,0.05,3,True
585,585,4,6,0.15,3,True
586,586,4,6,0.25,3,True
587,587,4,6,0.35,3,True
588,588,4,6,0.05,4,True
589,589,4,6,0.15,4,True
590,590,4,6,0.25,4,True
591,591,4,6,0.35,4,True
592,592,4,7,0.05,1,True
593,593,4,7,0.15,1,True
594,594,4,7,0.25,1,True
595,595,4,7,0.35,1,True
596,596,4,7,0.05,2,True
597,597,4,7,0.15,2,True
598,598,4,7,0.25,2,True
599,599,4,7,0.35,2,True
600,600,4,7,0.05,3,True
601,601,4,7,0.15,3,True
602,602,4,7,0.25,3,True
603,603,4,7,0.35,3,True
604,604,4,7,0.05,4,True
605,605,4,7,0.15,4,True
606,606,4,7,0.25,4,True
607,607,4,7,0.35,4,True
608,608,4,8,0.05,1,True
609,609,4,8,0.15,1,True
610,610,4,8,0.25,1,True
611,611,4,8,0.35,1,True
612,612,4,8,0.05,2,True
613,613,4,8,0.15,2,True
614,614,4,8,0.25,2,True
615,615,4,8,0.35,2,True
616,616,4,8,0.05,3,True
617,617,4,8,0.15,3,True
618,618,4,8,0.25,3,True
619,619,4,8,0.35,3,True
620,620,4,8,0.05,4,True
621,621,4,8,0.15,4,True
622,622,4,8,0.25,4,True
